"","V1","V2","V3","V4"
"1","0.35","1","edf","60.5108201398891"
"2","0.35","1","mse","75.6852894191064"
"3","0.35","2","edf","45.6150494937576"
"4","0.35","2","mse","60.7257505920368"
"5","0.35","3","edf","47.7475081961444"
"6","0.35","3","mse","78.3896333539004"
"7","0.35","4","edf","55.3730229098883"
"8","0.35","4","mse","66.9482682508585"
"9","0.35","5","edf","51.0111417844515"
"10","0.35","5","mse","79.9364470416724"
"11","0.35","6","edf","47.5538314342367"
"12","0.35","6","mse","66.3884155632373"
"13","0.35","7","edf","54.7730847388301"
"14","0.35","7","mse","56.6546947786657"
"15","0.35","8","edf","46.8573032461152"
"16","0.35","8","mse","78.0314575742626"
"17","0.35","9","edf","43.5447091319318"
"18","0.35","9","mse","72.9018856532497"
"19","0.35","10","edf","47.9805777349543"
"20","0.35","10","mse","60.6275945423154"
"21","0.35","11","edf","51.3901048816481"
"22","0.35","11","mse","60.6795624041835"
"23","0.35","12","edf","72.2222755752461"
"24","0.35","12","mse","74.4058800975565"
"25","0.35","13","edf","51.5287672806613"
"26","0.35","13","mse","65.0643811025432"
"27","0.35","14","edf","50.6318345059028"
"28","0.35","14","mse","50.2139177978703"
"29","0.35","15","edf","47.3264378398257"
"30","0.35","15","mse","69.0635778328472"
"31","0.35","16","edf","49.1210051447875"
"32","0.35","16","mse","76.9737598970085"
"33","0.35","17","edf","80.6698037979283"
"34","0.35","17","mse","110.024139425901"
"35","0.35","18","edf","57.7461010131672"
"36","0.35","18","mse","68.6900236758353"
"37","0.35","19","edf","47.2946229833635"
"38","0.35","19","mse","77.6902478662341"
"39","0.35","20","edf","48.1503962643026"
"40","0.35","20","mse","66.7696520246774"
"41","0.35","21","edf","52.5469176782796"
"42","0.35","21","mse","56.7822583390364"
"43","0.35","22","edf","50.5795903913104"
"44","0.35","22","mse","72.1118718114067"
"45","0.35","23","edf","50.4246761570986"
"46","0.35","23","mse","72.6614621920768"
"47","0.35","24","edf","56.7928453564582"
"48","0.35","24","mse","62.2273437003969"
"49","0.35","25","edf","48.7532966345504"
"50","0.35","25","mse","57.0766748519769"
"51","0.35","26","edf","53.0394718405908"
"52","0.35","26","mse","46.7170197314721"
"53","0.35","27","edf","49.506562659566"
"54","0.35","27","mse","61.198861811067"
"55","0.35","28","edf","42.956014785435"
"56","0.35","28","mse","59.8881209964434"
"57","0.35","29","edf","63.7228747335942"
"58","0.35","29","mse","72.1929931744838"
"59","0.35","30","edf","44.9801507455149"
"60","0.35","30","mse","54.7485702001118"
"61","0.35","31","edf","46.2244859639009"
"62","0.35","31","mse","60.3832639580523"
"63","0.35","32","edf","49.2379088954384"
"64","0.35","32","mse","84.3862466299945"
"65","0.35","33","edf","68.8398941230347"
"66","0.35","33","mse","71.1803231457148"
"67","0.35","34","edf","43.6732065315091"
"68","0.35","34","mse","64.3443954078314"
"69","0.35","35","edf","42.7836198246609"
"70","0.35","35","mse","73.8237322631504"
"71","0.35","36","edf","50.4514216482284"
"72","0.35","36","mse","78.7052179175379"
"73","0.35","37","edf","49.3288571505604"
"74","0.35","37","mse","70.0531977783256"
"75","0.35","38","edf","51.6423973200611"
"76","0.35","38","mse","60.662645289637"
"77","0.35","39","edf","56.5970164670634"
"78","0.35","39","mse","53.1208736076779"
"79","0.35","40","edf","62.35268101584"
"80","0.35","40","mse","56.4900175514149"
"81","0.35","41","edf","53.6029412510959"
"82","0.35","41","mse","76.70983376915"
"83","0.35","42","edf","58.1990071418116"
"84","0.35","42","mse","74.7093567036151"
