"","V1","V2","V3","V4","V5","V6"
"1","tprs","0.35","250","1","0.0949760361779386",NA
"2","mdsds","0.35","250","1","0.0551075462253615","4"
"3","soap","0.35","250","1","0.0542021524703451",NA
"4","wr","0.35","250","1","0.058602506062191",NA
"5","tprs","0.35","250","2","0.0854390061593742",NA
"6","mdsds","0.35","250","2","0.0638059855895422","3"
"7","soap","0.35","250","2","0.0700516192972567",NA
"8","wr","0.35","250","2","0.0569015342853321",NA
"9","tprs","0.35","250","3","0.116245966999788",NA
"10","mdsds","0.35","250","3","0.164572830330823","9"
"11","soap","0.35","250","3","0.0731293121080064",NA
"12","wr","0.35","250","3","0.146046261201162",NA
"13","tprs","0.35","250","4","0.0785017810231406",NA
"14","mdsds","0.35","250","4","0.0479718744385603","4"
"15","soap","0.35","250","4","0.0511081342664474",NA
"16","wr","0.35","250","4","0.079099324050097",NA
"17","tprs","0.35","250","5","0.0997395550316714",NA
"18","mdsds","0.35","250","5","0.0900265082420314","2"
"19","soap","0.35","250","5","0.0671900960381936",NA
"20","wr","0.35","250","5","0.0596210255521936",NA
"21","tprs","0.35","250","6","0.0911396481958638",NA
"22","mdsds","0.35","250","6","0.0570629778297792","4"
"23","soap","0.35","250","6","0.0660759225546367",NA
"24","wr","0.35","250","6","0.0653508870243479",NA
"25","tprs","0.35","250","7","0.0672816980733437",NA
"26","mdsds","0.35","250","7","0.0484343875905372","3"
"27","soap","0.35","250","7","0.0573381691016703",NA
"28","wr","0.35","250","7","0.0518183820244294",NA
"29","tprs","0.35","250","8","0.123896487105848",NA
"30","mdsds","0.35","250","8","0.0429977397886129","4"
"31","soap","0.35","250","8","0.0502568023727979",NA
"32","wr","0.35","250","8","0.0640679690152845",NA
"33","tprs","0.35","250","9","0.115312516453009",NA
"34","mdsds","0.35","250","9","0.0602557719772069","4"
"35","soap","0.35","250","9","0.061039241356284",NA
"36","wr","0.35","250","9","0.0637482144277831",NA
"37","tprs","0.35","250","10","0.0705256978450611",NA
"38","mdsds","0.35","250","10","0.0484022732204691","4"
"39","soap","0.35","250","10","0.0544640411674789",NA
"40","wr","0.35","250","10","0.0507693352437021",NA
"41","tprs","0.35","250","11","0.0934794687845032",NA
"42","mdsds","0.35","250","11","0.0487756005614979","3"
"43","soap","0.35","250","11","0.0568532382364607",NA
"44","wr","0.35","250","11","0.704979332166106",NA
"45","tprs","0.35","250","12","0.119860009359678",NA
"46","mdsds","0.35","250","12","0.0521347184817107","4"
"47","soap","0.35","250","12","0.0629002110634547",NA
"48","wr","0.35","250","12","0.0580507965426177",NA
"49","tprs","0.35","250","13","0.085258404127247",NA
"50","mdsds","0.35","250","13","0.0705959853659185","2"
"51","soap","0.35","250","13","0.044500796870648",NA
"52","wr","0.35","250","13","0.0460542792144488",NA
"53","tprs","0.35","250","14","0.0754531732816964",NA
"54","mdsds","0.35","250","14","0.0514396981221141","3"
"55","soap","0.35","250","14","0.0484003746164507",NA
"56","wr","0.35","250","14","0.0577454144608414",NA
"57","tprs","0.35","250","15","0.128751428351465",NA
"58","mdsds","0.35","250","15","0.0486978644562481","3"
"59","soap","0.35","250","15","0.0512941668581518",NA
"60","wr","0.35","250","15","0.0398881591181362",NA
"61","tprs","0.35","250","16","0.105106367791563",NA
"62","mdsds","0.35","250","16","0.0621819838816327","3"
"63","soap","0.35","250","16","0.0550181728900147",NA
"64","wr","0.35","250","16","0.0499638751512986",NA
"65","tprs","0.35","250","17","0.151266456342841",NA
"66","mdsds","0.35","250","17","0.0594690295391681","4"
"67","soap","0.35","250","17","0.0559453193618693",NA
"68","wr","0.35","250","17","0.0636527103744064",NA
"69","tprs","0.35","250","18","0.103244264402197",NA
"70","mdsds","0.35","250","18","0.0584877695291901","3"
"71","soap","0.35","250","18","0.055908345736098",NA
"72","wr","0.35","250","18","0.141193740859268",NA
"73","tprs","0.35","250","19","0.14885450608009",NA
"74","mdsds","0.35","250","19","0.055688208444211","4"
"75","soap","0.35","250","19","0.0495865713903908",NA
"76","wr","0.35","250","19","0.0578804394560239",NA
"77","tprs","0.35","250","20","0.0999559227954292",NA
"78","mdsds","0.35","250","20","0.0389270223814901","4"
"79","soap","0.35","250","20","0.0381814010071051",NA
"80","wr","0.35","250","20","0.0372270387870161",NA
"81","tprs","0.35","250","21","0.0924958276116831",NA
"82","mdsds","0.35","250","21","0.0509885195797112","4"
"83","soap","0.35","250","21","0.0775064243753729",NA
"84","wr","0.35","250","21","0.058423565999052",NA
"85","tprs","0.35","250","22","0.070791168587543",NA
"86","mdsds","0.35","250","22","0.0564568839799588","4"
"87","soap","0.35","250","22","0.0613774741897142",NA
"88","wr","0.35","250","22","0.0636551051679348",NA
"89","tprs","0.35","250","23","0.111641177203193",NA
"90","mdsds","0.35","250","23","0.0451939787109288","4"
"91","soap","0.35","250","23","0.0559197226574318",NA
"92","wr","0.35","250","23","0.0574955844660091",NA
"93","tprs","0.35","250","24","0.090658327618557",NA
"94","mdsds","0.35","250","24","0.0645371069790077","4"
"95","soap","0.35","250","24","0.0703902070502489",NA
"96","wr","0.35","250","24","0.0746010547437533",NA
"97","tprs","0.35","250","25","0.117091608397498",NA
"98","mdsds","0.35","250","25","0.0561767552787795","4"
"99","soap","0.35","250","25","0.0654764138684555",NA
"100","wr","0.35","250","25","0.0585341016603953",NA
"101","tprs","0.35","250","26","0.134620100137785",NA
"102","mdsds","0.35","250","26","0.0540900890853999","4"
"103","soap","0.35","250","26","0.0712915467604009",NA
"104","wr","0.35","250","26","0.0467673827734698",NA
"105","tprs","0.35","250","27","0.0807133916148219",NA
"106","mdsds","0.35","250","27","0.0459264924237268","3"
"107","soap","0.35","250","27","0.0492044942365255",NA
"108","wr","0.35","250","27","0.0473958910534554",NA
"109","tprs","0.35","250","28","0.144328442126182",NA
"110","mdsds","0.35","250","28","0.0549147719994206","3"
"111","soap","0.35","250","28","0.0616135447727566",NA
"112","wr","0.35","250","28","0.0487724308252976",NA
"113","tprs","0.35","250","29","0.086947935240135",NA
"114","mdsds","0.35","250","29","0.0816323006848643","2"
"115","soap","0.35","250","29","0.0683096064398458",NA
"116","wr","0.35","250","29","0.0655114565432844",NA
"117","tprs","0.35","250","30","0.0944604396044643",NA
"118","mdsds","0.35","250","30","0.0644534969197972","3"
"119","soap","0.35","250","30","0.0638619932203821",NA
"120","wr","0.35","250","30","0.0557105240158273",NA
"121","tprs","0.35","250","31","0.0909480837232583",NA
"122","mdsds","0.35","250","31","0.0638631402606586","12"
"123","soap","0.35","250","31","0.0527214197934121",NA
"124","wr","0.35","250","31","0.0626721089199175",NA
"125","tprs","0.35","250","32","0.141371553746608",NA
"126","mdsds","0.35","250","32","0.0750690383076543","2"
"127","soap","0.35","250","32","0.0567602458825032",NA
"128","wr","0.35","250","32","0.0565914239157267",NA
"129","tprs","0.35","250","33","0.0672235569194539",NA
"130","mdsds","0.35","250","33","0.0459128507848371","4"
"131","soap","0.35","250","33","0.0610389721481417",NA
"132","wr","0.35","250","33","0.0524644003598044",NA
"133","tprs","0.35","250","34","0.0826380747244573",NA
"134","mdsds","0.35","250","34","0.0409192176903145","4"
"135","soap","0.35","250","34","0.0455061229647923",NA
"136","wr","0.35","250","34","0.0448961774023949",NA
"137","tprs","0.35","250","35","0.107233186370516",NA
"138","mdsds","0.35","250","35","0.0461084870327789","4"
"139","soap","0.35","250","35","0.0587040171042343",NA
"140","wr","0.35","250","35","0.0619986941028464",NA
"141","tprs","0.35","250","36","0.101397828256154",NA
"142","mdsds","0.35","250","36","0.637238052057504","15"
"143","soap","0.35","250","36","0.0669824683935211",NA
"144","wr","0.35","250","36","0.0653078106994319",NA
"145","tprs","0.35","250","37","0.162334493342899",NA
"146","mdsds","0.35","250","37","0.0444986510873267","4"
"147","soap","0.35","250","37","0.0544167607146074",NA
"148","wr","0.35","250","37","0.0535789958645213",NA
"149","tprs","0.35","250","38","0.103542393088167",NA
"150","mdsds","0.35","250","38","0.0575420748363298","4"
"151","soap","0.35","250","38","0.05709006772458",NA
"152","wr","0.35","250","38","0.0595890571811082",NA
"153","tprs","0.35","250","39","0.0706487120977619",NA
"154","mdsds","0.35","250","39","0.0527986701076077","4"
"155","soap","0.35","250","39","0.063592981831063",NA
"156","wr","0.35","250","39","0.0626741397980907",NA
"157","tprs","0.35","250","40","0.0858541011009344",NA
"158","mdsds","0.35","250","40","0.0492638647309616","4"
"159","soap","0.35","250","40","0.0521823375293578",NA
"160","wr","0.35","250","40","0.0510775536485222",NA
"161","tprs","0.35","250","41","0.115090824892249",NA
"162","mdsds","0.35","250","41","0.0759768171839667","2"
"163","soap","0.35","250","41","0.0686352701109063",NA
"164","wr","0.35","250","41","0.0505586869217767",NA
"165","tprs","0.35","250","42","0.0735397167770234",NA
"166","mdsds","0.35","250","42","0.0439010962207479","4"
"167","soap","0.35","250","42","0.0506221426194801",NA
"168","wr","0.35","250","42","0.045439820988751",NA
"169","tprs","0.35","250","43","0.111765788794912",NA
"170","mdsds","0.35","250","43","0.0816867617957823","2"
"171","soap","0.35","250","43","0.0639100571652854",NA
"172","wr","0.35","250","43","0.0595543092268485",NA
"173","tprs","0.35","250","44","0.108194301904682",NA
"174","mdsds","0.35","250","44","0.0559396105889265","4"
"175","soap","0.35","250","44","0.0594622808508549",NA
"176","wr","0.35","250","44","0.0850331305609411",NA
"177","tprs","0.35","250","45","0.0975500488734846",NA
"178","mdsds","0.35","250","45","0.0515111005763017","3"
"179","soap","0.35","250","45","0.0744227706171187",NA
"180","wr","0.35","250","45","0.0449581143368233",NA
"181","tprs","0.35","250","46","0.109773310988343",NA
"182","mdsds","0.35","250","46","0.0664712346042352","2"
"183","soap","0.35","250","46","0.0638491624342706",NA
"184","wr","0.35","250","46","0.0597463826500423",NA
"185","tprs","0.35","250","47","0.129226887398591",NA
"186","mdsds","0.35","250","47","0.0483175559009047","4"
"187","soap","0.35","250","47","0.061524386580694",NA
"188","wr","0.35","250","47","0.0600720581691291",NA
"189","tprs","0.35","250","48","0.0710161831594074",NA
"190","mdsds","0.35","250","48","0.0383096135011687","4"
"191","soap","0.35","250","48","0.0387910403258314",NA
"192","wr","0.35","250","48","0.0484692365418792",NA
"193","tprs","0.35","250","49","0.0780364503711757",NA
"194","mdsds","0.35","250","49","0.0546469228063199","4"
"195","soap","0.35","250","49","0.0488633919463157",NA
"196","wr","0.35","250","49","0.0707671590534991",NA
"197","tprs","0.35","250","50","0.0866127875671292",NA
"198","mdsds","0.35","250","50","0.0592924632898934","4"
"199","soap","0.35","250","50","0.0545848290545453",NA
"200","wr","0.35","250","50","0.0593165759425465",NA
"201","tprs","0.35","250","51","0.075121439784415",NA
"202","mdsds","0.35","250","51","0.0472155661387047","6"
"203","soap","0.35","250","51","0.046190101166989",NA
"204","wr","0.35","250","51","0.053012023051649",NA
"205","tprs","0.35","250","52","0.0857720132827896",NA
"206","mdsds","0.35","250","52","0.0596740058465744","4"
"207","soap","0.35","250","52","0.0625412040923329",NA
"208","wr","0.35","250","52","0.0614439848776144",NA
"209","tprs","0.35","250","53","0.092190538673755",NA
"210","mdsds","0.35","250","53","0.052193837494702","4"
"211","soap","0.35","250","53","0.0582483041989736",NA
"212","wr","0.35","250","53","0.0565217246909587",NA
"213","tprs","0.35","250","54","0.0991944856744366",NA
"214","mdsds","0.35","250","54","0.0545345765949117","4"
"215","soap","0.35","250","54","0.0531246795074561",NA
"216","wr","0.35","250","54","0.0530101497940159",NA
"217","tprs","0.35","250","55","0.0759235649939715",NA
"218","mdsds","0.35","250","55","0.0633992222477201","4"
"219","soap","0.35","250","55","0.0780390750119728",NA
"220","wr","0.35","250","55","0.0808337907436419",NA
"221","tprs","0.35","250","56","0.103237642198963",NA
"222","mdsds","0.35","250","56","0.130986694273843","18"
"223","soap","0.35","250","56","0.0748635064929298",NA
"224","wr","0.35","250","56","0.0955010370984881",NA
"225","tprs","0.35","250","57","0.0926370728224049",NA
"226","mdsds","0.35","250","57","0.043049360810775","4"
"227","soap","0.35","250","57","0.0449837825219228",NA
"228","wr","0.35","250","57","0.0556812465137075",NA
"229","tprs","0.35","250","58","0.0740162342197034",NA
"230","mdsds","0.35","250","58","0.0573902999114971","4"
"231","soap","0.35","250","58","0.056998374066347",NA
"232","wr","0.35","250","58","0.0629813172027556",NA
"233","tprs","0.35","250","59","0.0780681315032014",NA
"234","mdsds","0.35","250","59","0.0513768439553572","4"
"235","soap","0.35","250","59","0.0579343893565458",NA
"236","wr","0.35","250","59","0.0641887861009341",NA
"237","tprs","0.35","250","60","0.0862458886399042",NA
"238","mdsds","0.35","250","60","0.0619385831966229","4"
"239","soap","0.35","250","60","0.0636251470298422",NA
"240","wr","0.35","250","60","0.0641233905288455",NA
"241","tprs","0.35","250","61","0.111175386116111",NA
"242","mdsds","0.35","250","61","0.05571977252391","4"
"243","soap","0.35","250","61","0.0586148437904035",NA
"244","wr","0.35","250","61","0.054423059829827",NA
"245","tprs","0.35","250","62","0.152899335652162",NA
"246","mdsds","0.35","250","62","0.0643617097376102","4"
